author_id,created_at,text
116003,06_06_2022_23_05,"@AskPlayStation compre una tarjeta de 50$, la metí y no se me acreditaron los 50$, me sale que revise los términos. ¿Que hago?"
AskPlayStation,06_06_2022_23_05,"@116004 Very odd. Please turn off the console and disconnect all the cables from it for 3 minutes, then try again."
116004,06_06_2022_23_05,Yo my PS4 has been turning on by itself recently and constantly ejecting the game disc that's in. What the heck is going on? @AskPlayStation
AskPlayStation,06_06_2022_23_05,@116005 Glad to help! We have sent you a Direct Message via Twitter with further instructions.
116005,06_06_2022_23_05,@AskPlayStation My account is telling me to reset my password but i dont know my date of birth but i know my password for the account. help
AskPlayStation,06_06_2022_23_05,"@116006 Hi there, Have you tried accessing this content from your download queue: https://t.co/lyTEIVBTBn
Let us know the results."
116006,06_06_2022_23_05,"@AskPlayStation my psn id quochuy046, can you help me? Or can I email someone a try for help? live chat on web block me? wtf?"
116006,06_06_2022_23_05,"@AskPlayStation I have followed your instructions, but not, my ps4 has set up automatic download, and find in library there is no diablo 3 nercromancer"
116006,06_06_2022_23_05,"@AskPlayStation  i have bought dlc diablo 3 necromancer and hav phys disc D3 ROS but when i click necromaner pack on game , dont download https://t.co/JDdn50e0wo"
AskPlayStation,06_06_2022_23_05,@116007 Please check your DM's for more instructions.
116007,06_06_2022_23_05,"@AskPlayStation Less a billing issue (I updated the exp date in acct), more ps+ wasn't able to renew. How do i make sure it stays current/not lose anything?"
AskPlayStation,06_06_2022_23_05,"@116007 Sorry to hear that! For billing issues, please follow the steps in the next link: https://t.co/7atHEqJw8n"
116007,06_06_2022_23_05,"@AskPlayStation not sure why my CC in my acct had an incorrect date, but my renewal for ps+ failed. How can I correct this?"
AskPlayStation,06_06_2022_23_05,"@116008 Hi there! For assistance please follow us and send us a Direct Message, we look forward to your reply."
116008,06_06_2022_23_05,@AskPlayStation please help
116008,06_06_2022_23_05,@AskPlayStation hi I accidentally bought a psp game on the PlayStation store thinking it was for ps3. I don’t have a psp. can I return it?
AskPlayStation,06_06_2022_23_05,@116009 Glad to help!  Please follow us via Twitter and let us know so we can send you a Direct Message with further instructions.
116009,06_06_2022_23_05,I preordered the standard edition of cod ww2. Can I change it to deluxe edition somehow @AskPlayStation
AskPlayStation,06_06_2022_23_05,@116010 Sorry to read that. Please check your DMs for assistance.
116010,06_06_2022_23_05,@AskPlayStation someone got to my account and changed the email
HPSupport,06_06_2022_23_05,"@116011 To better assist you, click on the option below and reply. Thanks! ^Anoop 2/2 https://t.co/a2xkfCrUG1"
116011,06_06_2022_23_05,@HPSupport [Laserjet Pro M102w will not print. Drivers install and windows finds printer but I get an error] #hpcswus #hpprnt
HPSupport,06_06_2022_23_05,"@116011 Hey Jacob, I'm here to help! Let's run print and scan doctor: https://t.co/EaeoxKeULN ...1/2"
HPSupport,06_06_2022_23_05,@116012 below and reply. Thanks! ^Anoop 2/2 https://t.co/a2xkfCrUG1
116012,06_06_2022_23_05,@HPSupport Im sending my notebook in for hard drive replacement. Is it alright if I format the drive to factory defaul first? #hpcswus #hppc
HPSupport,06_06_2022_23_05,@116013 Fill the web form using this link to reach them- https://t.co/0jQc5ucYzc Thanks! ^Anoop 2/2 https://t.co/a2xkfCrUG1
116013,06_06_2022_23_05,@HPSupport I would like to speak to a technician #hpsa #hpprnt
HPSupport,06_06_2022_23_05,"@116013 Hey Daniel, I'm here to help! If you wish to speak to someone then you need to contact HP phone support. ...1/2"
ChaseSupport,06_06_2022_23_05,@116014 2/2 to the merchant's site to make the purchase. ^BG
116014,06_06_2022_23_05,"@ChaseSupport Sounds good, thanks!"
116014,06_06_2022_23_05,Hi @ChaseSupport do I have to go through the Chase Online Ultimate Rewards webpage to get the extra cash back when I shop?
ChaseSupport,06_06_2022_23_05,"@116014 1/2 Hello, in order to get the cash back, you'll need to click the link from the Ultimate Rewards website. You'll be routed"
ChaseSupport,06_06_2022_23_05,"@116015 We appreciate the kind words. If you have questions or concerns, please let us know. We're here to help. ^CR"
116015,06_06_2022_23_05,"I've had some ups and downs from banking with Chase, but lately they've been really good to me. So shoutout to you @116016 👏✊"
ChaseSupport,06_06_2022_23_05,@116017 I’d like to review this further for you. Could you please DM your name &amp; zip code? ^BG https://t.co/znUu1VJn9r
116017,06_06_2022_23_05,Hey @116016 we're gonna need to talk about all these pending charges that keep going through my account 5 days after the transaction was made.... I'm getting real irritated.
ChaseSupport,06_06_2022_23_05,@116018 We're glad we were able to help! ^JG
116018,06_06_2022_23_05,"@ChaseSupport Just got off the phone with them, you guys were great!"
ChaseSupport,06_06_2022_23_05,@116018 Aw! It's our pleasure to help. Let us know if we can be of additional assistance. ^JG
116018,06_06_2022_23_05,@ChaseSupport Thanks guys!
ChaseSupport,06_06_2022_23_05,@116018 We would be happy to look into this for you. Could you DM your name and zip code? ^JG https://t.co/znUu1VJn9r
116018,06_06_2022_23_05,"@ChaseSupport I couldn't find an e-mail online. You have my apartment address but not my number, how can I update that to ensure the card gets to me?"
116018,06_06_2022_23_05,"@ChaseSupport I applied for a credit card and but i was never asked for my apt #, tried calling but couldn't get past your automated system."
CoxHelp,06_06_2022_23_05,"@116019 Hello, this does not sound good.  Can you DM the account name and complete service address? We would like to help.  -Dan"
116019,06_06_2022_23_05,@CoxHelp Had to push hard but finally got a team lead to reach out to on-call tech. Outage issue solved; #CSIssue not #CSFail
116019,06_06_2022_23_05,Next day turnaround on an outage issue? @CoxHelp for the #CSFail when it comes to dealing with outages #CSFail #OutageProbs
CoxHelp,06_06_2022_23_05,"@116020 Hi 🎃 Fɍ1sꝀɇNsŦɇƗn 👻, please DM account info including street address so we can look into this.  -Greg https://t.co/ovAKPb0TYC"
116020,06_06_2022_23_05,@CoxHelp It needs to be fixed. Permanently. Now.
CoxHelp,06_06_2022_23_05,@116020 I don't want you to feel this way. What's going on? -Colleen
116020,06_06_2022_23_05,"So @116021 is back fucking me again with my BUSINESS plan internet.

Super cool company.

I don't recommend."
CoxHelp,06_06_2022_23_05,"@116022 Hello, this does not sound good.  Can you DM the account name and complete service address? We would like to help.  -Dan"
116022,06_06_2022_23_05,I’d like at least one month to go by where I don’t have to say how crappy the service is with @116021 in #Vegas &amp; how much I despise them
CoxHelp,06_06_2022_23_05,"@116023 Hi Jean-Claude, I hope you do not have any service interruptions. If you need assistance, reach out to us. -Mike"
116023,06_06_2022_23_05,@CoxHelp I just did.
CoxHelp,06_06_2022_23_05,"@116023 Hi, the outage is still open in your area and working to get it restored as quickly as possible. Thanks for your patience. -Mary"
116023,06_06_2022_23_05,@CoxHelp Been lookong forward to binge on #StrangerThingsSeason2 just hope we have internet. a lot of outages in the neighborhood lately.
CoxHelp,06_06_2022_23_05,@116024 Okay great! If you have any further concerns please reach out to us. -Xavier
116024,06_06_2022_23_05,"@116021 Seems like my problem has been resolved, the technicians you sent to the house were very capable and surpassed expectations"
AskeBay,06_06_2022_23_05,@116025 Have you asked the seller yet where it is? See https://t.co/n4jUdNSd5z as they may be able to help out! ^D
116025,06_06_2022_23_05,@AskeBay I have contacted seller but my question to you is when will I receive my product. Your customer service says may be the awb no.  is wrong.
116025,06_06_2022_23_05,@AskeBay I don't care about that I want my product. . I wish I had not opted ebay.but in future I am not going to choose eBay . Because Its the worst
AskeBay,06_06_2022_23_05,"@116025 The seller should have delivered it by then, but as you don't have it just see https://t.co/Yh3pSrspGY if the seller can't help! ^D"
116025,06_06_2022_23_05,@AskeBay I haven't received it as of yet. And I have a contract with you for the delivery of product not with seller.
116025,06_06_2022_23_05,"@AskeBay So, instead of telling me to contact the seller you guys should contact the seller."
AskeBay,06_06_2022_23_05,"@116025 The contract is between you and the seller! They shipped it, but we protect you if you didn't get it if you open a case. ^D"
116025,06_06_2022_23_05,@AskeBay I haven't received anything as of yet. I'll contact seller tomorrow morning. But your service is pathetic.
AskeBay,06_06_2022_23_05,@116025 Did you view our link? We can give a refund if you don't get it! Just look at our guarantee for steps on activating it. ^D
116025,06_06_2022_23_05,@AskeBay I would appreciate that I got the refund of my previous damaged product from eBay. But where are the timelines for delivery.
116025,06_06_2022_23_05,@AskeBay The email address associated with my account is __email__ .
116025,06_06_2022_23_05,@AskeBay I'm not looking for the refund. Just check my account and you would yourself condemn your service and worst packing .
116025,06_06_2022_23_05,@AskeBay And I haven't received it yet so in layman terms you can say I'm Waiting for it from 9th of Oct. How much time can I wait.
116025,06_06_2022_23_05,@AskeBay and so you have provided me the refund for that. But as I was mad about this product so I ordered the same product on 21st .
116025,06_06_2022_23_05,@AskeBay I am looking for the product. Let me tell you something. I bought a similar product on 9th of this month. But that was damaged  .
AskeBay,06_06_2022_23_05,"@116025 If you still can't see this, please DM us your full name, Zip code &amp; item number &amp; we'll advise on this date for you. 2/2^ML"
116025,06_06_2022_23_05,@AskeBay And check with your team. Or else keep my fucking money as you guys have stressed me out. ?@61113
116025,06_06_2022_23_05,@AskeBay @2598 kindly check the above message and do the needful for your worst service.
AskeBay,06_06_2022_23_05,@116025 Thank you for your reply. The estimate delivery date for this order will be available to view in your ‘Purchase History’.1/2
116025,06_06_2022_23_05,"@115937 Estimated delivery Wed, 25 Oct - Fri, 27 Oct
You have paid using PaisaPay on 21/10/17. 
but i havent received it yet on 1/11/17."
AskeBay,06_06_2022_23_05,@116026 You can always open a claim https://t.co/xlN11csEfc to get the ball rolling on that coverage! ^BB
116026,06_06_2022_23_05,@AskeBay I did that they closed my case have I lost £120 pounds now because of eBay theft and eBay does not care
AskeBay,06_06_2022_23_05,@116026 Well I would be more than happy to take a look at that claim for you. Could you DM us with more details please? ^BB
116026,06_06_2022_23_05,@AskeBay The delivery company is saying they delivered it to my street won't give address the seller is saying she has proof but no one will show me
AskeBay,06_06_2022_23_05,@116026 Hey James - Could you send us a DM with all the information so we can look into that for you? ^BB
116026,06_06_2022_23_05,@AskeBay what option do I have if I bought something on eBay and wasn't delivered and eBay closed my claim to get the money back?
AskeBay,06_06_2022_23_05,@116027 On a desktop go to item page (view item) &gt; Manage Offers &gt; Change offer settings. You can get that going here. ^CC
116027,06_06_2022_23_05,@AskeBay How do I setup automatic declines? Its not listed in your help centre and I’m struggling to find the settings
AskeBay,06_06_2022_23_05,@116027 This is to help sell your items. Be sure to set up Automatic Decline in your settings so you don't have to see low offers. ^CC
116027,06_06_2022_23_05,@AskeBay can you remove the best offer facility from buy it now items?? I am selling items that I do not wish to offer ‘best offer’
DropboxSupport,06_06_2022_23_05,@116028 ...Cancel Dropbox Business. Hope this helps take care of things for you. 😊 2/2
116028,06_06_2022_23_05,@116029 How can I change my work Dropbox account back to a personal account? I tested the trial version now I want my account to be personal again.
116029,06_06_2022_23_05,We’re excited to announce the University of Cambridge is using Dropbox Business to power collaboration. https://t.co/SBIyDSyCDK https://t.co/3f69m3x5gF
DropboxSupport,06_06_2022_23_05,"@116030 Hey Justin, apologies for the delay, are you still unable to access the eBook? https://t.co/XvZzHN3eu0 Let us know, thanks!"
116030,06_06_2022_23_05,@116029 FYI was on your solutions/marketing of DB Business and noticed the read the eBook link is broken... https://t.co/aRWCfgYMoO
DropboxSupport,06_06_2022_23_05,"@116031 We understand, and we’ve added your comments to your suggestion. Cheers!"
116031,06_06_2022_23_05,"@DropboxSupport Please do! “As a user, I would like to hide irrelevant or old contacts from suggestions, in order to make room for relevant ones.” :)"
DropboxSupport,06_06_2022_23_05,"@116031 Hi there, currently it isn’t possible to hide the suggestion list, however we can certainly forward this request to our dev team!"
116031,06_06_2022_23_05,"@DropboxSupport How do I remove the suggested contacts in ""Invite people to Paper"" column? I don't have any third party contacts connected."
VirginAtlantic,06_06_2022_23_05,"@116032 Hey James, when did you fly? ^E"
116032,06_06_2022_23_05,@VirginAtlantic can you please update my tier points on my account - thanks.
VirginAtlantic,06_06_2022_23_05,@116033 Sorry to hear this process was so frustrating. ^N
116033,06_06_2022_23_05,"@VirginAtlantic 3 times over an hour on the phone, let’s just hope everything is correct now I’d hate for something to be wrong for a special occasion"
VirginAtlantic,06_06_2022_23_05,@116033 Have you spoken to our team on the phone about this? What were you advised? ^H
116033,06_06_2022_23_05,"3rd call to @VirginAtlantic hoping everything is sorted, booked flights for 4 guys and 2 peoples details were incorrect should I be worried?"
BofA_Help,06_06_2022_23_05,@116034 You can send us a message by clicking the link below. ^cr https://t.co/CoOXedUuUC
116034,06_06_2022_23_05,"@116035 refuses to provide me with a copy of my contract, even though they’re quoting it to justify stealing $800 from me"
BofA_Help,06_06_2022_23_05,"@116034 Hello, we'd like to know more about your Twitter post. Please send us additional details about your concerns. Thank you. ^cr"
BofA_Help,06_06_2022_23_05,@116036 Thank you for taking the time to speak with us today. We appreciate the opportunity to help. ^mg
116036,06_06_2022_23_05,@BofA_Help Thanks
BofA_Help,06_06_2022_23_05,@116036 Thank you for your patience. We'll call you shortly. ^mg
BofA_Help,06_06_2022_23_05,@116037 I made another try to call you and reached your voice-mail. Please return my call at the # given if you still need help. ^kl
116037,06_06_2022_23_05,@BofA_Help Anytime after 12noon today or anytime tomorrow
BofA_Help,06_06_2022_23_05,@116037 We’re here from 8:00 am-9:00 pm ET Monday-Friday and 11:00 am-8:00pm ET Saturday. When is the best time to reach you? ^ra
116037,06_06_2022_23_05,@BofA_Help Whenever your ready
BofA_Help,06_06_2022_23_05,@116037 I am sorry I missed your call. Please let me know when you are able to talk about your information. ^kl
116037,06_06_2022_23_05,"@BofA_Help Okay, I'm currently on the middle of something, I will return your call shortly thank you"
BofA_Help,06_06_2022_23_05,@116037 I called and left a message for you. Please return my call at the number provided or DM me when you are available.  ^kl
116037,06_06_2022_23_05,"@BofA_Help Thank you because I just was beginning to become comfortable with you all, Everything was going great"
BofA_Help,06_06_2022_23_05,@116037 I'm sorry to see this and want to see how I can help. I will give you a call at the number you previously sent. ^kt
116037,06_06_2022_23_05,"@116035 the the woman says, were regulated by the government they won't let us help you..She literally just blamed the government"
BofA_Help,06_06_2022_23_05,"@116038 Hello, do you have any account related concerns that we can help with? Our Social Care Team is here if you need us. Thanks. ^cr"
116038,06_06_2022_23_05,@116035 i have a question
XboxSupport,06_06_2022_23_05,"@116039 Hi, can you direct message us and explain what issue you need assistance with? ^RM"
116039,06_06_2022_23_05,@XboxSupport week 2 licence wont' validate my minecraft for windows 10 https://t.co/GbY14vW0FP
XboxSupport,06_06_2022_23_05,"@116040 Hello! Most of the time connecting via ethernet can help, or restarting the console, router, and download. ^CO"
116040,06_06_2022_23_05,"@XboxSupport Connection via Ethernet not possible where he is, also there's no file to delete &amp; restart as said before he's done a power cycle?"
XboxSupport,06_06_2022_23_05,"@116040 Canceling the download, powering down the console, unplugging for five full minutes (this clears the cache), and try again. ^CO"
116040,06_06_2022_23_05,"@XboxSupport my brother can't install Forza 7 on his Xbox one, he's already tried a power cycle, what can he do please?"
XboxSupport,06_06_2022_23_05,@116041 to express your interest in seeing those games added to back compat!  2 ^JS
116041,06_06_2022_23_05,@XboxSupport who would I message for backwards compatible game suggestions 2 great games have sat on the fourms since 2015 https://t.co/Hv4lYsUelZ
XboxSupport,06_06_2022_23_05,@116041 Thanks for reaching out! Casting your votes on https://t.co/sGGIDmeHwt is the best way  1 ^JS
XboxSupport,06_06_2022_23_05,"@116042 Hey there! We'd like to DM so we can collect more info, let us know when you're Following us? https://t.co/FIM7Ks4Co5  ^FH"
116043,06_06_2022_23_05,@XboxSupport @116042 Yeah have to reboot game when animals become ill and the strikes and crisis come way to quickly
116044,06_06_2022_23_05,"@XboxSupport @116042 Yes there are many bugs in this game, especially when you try and release animals"
116042,06_06_2022_23_05,"@99 Hi, Will you be fixing the bugs and crashes on Zoo Tycoon: Ultimate Animal Collection Xbox One Version?

Many Thanks"
XboxSupport,06_06_2022_23_05,"@116045 We'd be happy to help, but we could use more info. Could you follow &amp; DM @Xboxsupport with your Gamertag &amp; some details? ^EZ"
116045,06_06_2022_23_05,"@XboxSupport I bought Dying Light from the xbox store and when I play it, it continuously freezes. I want my money back unless we can fix"
XboxSupport,06_06_2022_23_05,@116046 You would need to have an active Game Pass subscription during the promo period to qualify: https://t.co/fMB5Tw1NOB  ^EZ
116046,06_06_2022_23_05,@XboxSupport do you need a active game pass in order to receive the mystery gift from the giveaway?
XboxSupport,06_06_2022_23_05,"@116047 Hi! We're an English support team, if that's ok, we're happy to help! Or our chat team can help: https://t.co/qSynA8s7TB ^CO"
116047,06_06_2022_23_05,J'ai un pb quelqu'un a payer des jeux avec ma cb @XboxSupport 😓 pour acheter 210e de jeux...
XboxSupport,06_06_2022_23_05,"@116048 Hello, thanks for reaching out to us. Can you DM us your gamertag and details of what you're seeing? ^CO"
116048,06_06_2022_23_05,"@XboxSupport On Skype I can hear people, but they can't hear me. I've tried different controllers/mic &amp; uninstalling. Please help?"
AirAsiaSupport,06_06_2022_23_05,"@116049 Hi Firdaus, we has respond you via DM,see you there! - Anwar"
116049,06_06_2022_23_05,@AirAsiaSupport what happen to your system. I could not sent my refund info to e form
AzureSupport,06_06_2022_23_05,@116050 Can you post this question to our forum here: https://t.co/923oV1HGoY and send us the link? We'd like to engage an engineer. ^TW
116050,06_06_2022_23_05,@azuresupport #azhelp: why i can't use %env-variable% syntax in my function.json? Trying to deploy Function App but that syntax not working.
AzureSupport,06_06_2022_23_05,"@116051 Are these the steps you followed: https://t.co/FYZZn3qGt8 ? Please DM us your sub ID. ^JN
 https://t.co/EYpi1mphGM"
AzureSupport,06_06_2022_23_05,"@116051 Sorry to hear your having trouble. Could you direct message us with the steps you are following? ^JN
 https://t.co/EYpi1mphGM"
AzureSupport,06_06_2022_23_05,@116052 Excellent! Let us know if you run into any trouble. We're here to help! ^TW
116052,06_06_2022_23_05,"@AzureSupport Thanks for your help:) I've actually decided to use Azure Blob Storage instead, so I don't have to set up a service principal as a non-admin"
AzureSupport,06_06_2022_23_05,@116052 Hello! We have some documentation that may help: https://t.co/WvN5SLVlHj Let us know if we can assist further! ^MH
116052,06_06_2022_23_05,@azuresupport #azTechHelp Is there an easy way to transfer files from Azure File Store to Azure Data Lake?
AlaskaAir,06_06_2022_23_05,@116053 Happy to hear our hardworking team took such good care of you. Thank you for choosing to fly with us. -Kimball
116053,06_06_2022_23_05,Thank you @AlaskaAir for listening and helping when I had an issue today. Great customer service.
AlaskaAir,06_06_2022_23_05,@116054 That's great to hear! Thanks for being such an awesome guest with us! -Sean
116054,06_06_2022_23_05,Wow--great customer service @AlaskaAir! Thank you!
ArgosHelpers,06_06_2022_23_05,@116055 I'm sorry to hear this. Please could you send a DM with your order number so I can look into this for you? - Paul
116055,06_06_2022_23_05,@ArgosHelpers Terrible delivery service even worse paying extra for a time slot #3hourslate
Postmates_Help,06_06_2022_23_05,"@116056 Hey there! DM us the email on your account, please. We can help!"
116056,06_06_2022_23_05,"Hey @116057, if I recieve the wrong order and reported it to support...should I place a new order? Or what...?"
Postmates_Help,06_06_2022_23_05,@116058 So sorry for the trouble! Please DM us your account email so we can look into this.
116058,06_06_2022_23_05,@Postmates_Help order was messed up. Got a $5 refund when I deserve my money back. Food tasted horrible.
Morrisons,06_06_2022_23_05,"@116059 Hi Wendss, sorry to hear this! Please DM me which store you use and I'll look into this :) - Kirsty"
116059,06_06_2022_23_05,@Morrisons why have you discontinued your tinned ravioli in bolognese sauce. It was better than any other!! 😢
Morrisons,06_06_2022_23_05,"@116060 Hi there, sorry to hear this :( I'll be sure to pass on your feedback :) - Kirsty"
116060,06_06_2022_23_05,"Just so @Morrisons know, orange donuts were a TERRIBLE idea."
AskTarget,06_06_2022_23_05,@116061 Our apologies for any inconvenience. DM us with more details &amp; store location. https://t.co/bEVlRVM6db
116061,06_06_2022_23_05,@AskTarget Thank you for responding. I look forward to working with you.
116061,06_06_2022_23_05,@116062 has disgustingly mismanaged the released of the Crota Pops. You should be ashamed of your distribution and retail staff.
AskTarget,06_06_2022_23_05,@116063 That looks a little melted. DM us with more details for us to help. https://t.co/bEVlRVM6db
116063,06_06_2022_23_05,How can I give this out?  Wtf @116062 https://t.co/OElDh05lPG
AskTarget,06_06_2022_23_05,@116064 Great Suggestion! We have shared your comments with our Marketing Team for review. Thanks for tweeting us.
116064,06_06_2022_23_05,"@AskTarget Looks like Marketing Team didn't think that was a good idea. What is the motto for @116062 again? Something like ""lol Fuck Our Customers""?"
116064,06_06_2022_23_05,@116065 @AskTarget @116062 Can you do something similar for the Crota Funko Pop? This proves that you're capable of letting us know in advance when a limited product will go up for sale. You can still redeem yourselves for that fiasco of a launch. Please don't just randomly throw it up.
116065,06_06_2022_23_05,SNES Classic will go up for Redcard members only at Target dot com at 7 AM PT November 1st https://t.co/5O5WXcpky2 https://t.co/hnRuz3CwmX
GoDaddyHelp,06_06_2022_23_05,"@116066 Yes, we have chat. Live chat is available on the help page Monday through Friday from 5am - 6pm Arizona time in the US."
116066,06_06_2022_23_05,@GoDaddyHelp hey godday do you have a chat support?? I had an issue while im tryin to sync merchandise from printfull to my woocommerce ..
GoDaddyHelp,06_06_2022_23_05,@116067 2/2 Here is an article that explains why that happens: https://t.co/DcHLy9Eiw4 ^Heather
116067,06_06_2022_23_05,@GoDaddyHelp Thank you!
GoDaddyHelp,06_06_2022_23_05,@116067 You're most welcome. :) ^Heather
116067,06_06_2022_23_05,@GoDaddyHelp Shit wrong one https://t.co/Fdvwd8vT22
GoDaddyHelp,06_06_2022_23_05,"@116067 Thanks. It looks like that domain isn't registered with us, though. Do you have any domains with GoDaddy?^W https://t.co/rYq25s2Pfj"
116067,06_06_2022_23_05,@GoDaddyHelp https://t.co/qbjuBeYovF
GoDaddyHelp,06_06_2022_23_05,"@116067 Hi, that's not something we do. If your domain is public, spammers have access to your contact info. What's the domain? ^KJ"
116067,06_06_2022_23_05,@116068 I'd appreciate it if you wouldn't sell my personal info to other companies. You had no right and i'll be reporting you to the BBB
GoDaddyHelp,06_06_2022_23_05,@116067 Ok I do see you registered without privacy. That means your information is public in the whois database. 1/2
GoDaddyHelp,06_06_2022_23_05,@116069 2/2 be transparent about the fix. You can still turn it back on. ^Heather
